,state,county,county_state_name,above_US_median_income,graduate_attainment_pct,health_insurance_pct,below_poverty_lvl_pct,occupied_houses_pct,no_vehicles_hh_pct,pop_over_18_pct
2200,05,061,"Howard County, Arkansas",0,3.5,89.6,17.0,84.3,3.7,74.0
2201,05,067,"Jackson County, Arkansas",0,4.4,91.2,16.7,82.1,5.6,80.1
2202,05,073,"Lafayette County, Arkansas",0,3.2,92.4,19.2,66.0,9.1,81.0
2203,05,077,"Lee County, Arkansas",0,1.7,91.8,23.0,73.4,21.1,81.7
2204,05,083,"Logan County, Arkansas",0,4.0,93.9,11.1,82.2,4.9,78.3
2205,05,089,"Marion County, Arkansas",0,5.4,94.1,13.1,72.5,6.1,81.9
2206,05,093,"Mississippi County, Arkansas",0,5.6,92.5,16.7,80.8,9.3,73.8
2207,05,141,"Van Buren County, Arkansas",0,6.5,90.6,11.5,68.6,6.2,80.7
2208,05,147,"Woodruff County, Arkansas",0,6.2,94.7,17.4,77.4,9.7,78.6
2209,09,001,"Fairfield County, Connecticut",1,21.8,92.4,6.3,92.2,7.4,77.5
2210,09,007,"Middlesex County, Connecticut",1,18.5,96.7,4.0,88.6,5.0,82.3
2211,09,013,"Tolland County, Connecticut",1,18.5,97.3,3.7,93.5,4.6,82.7
2212,02,013,"Aleutians East Borough, Alaska",1,6.1,60.3,12.6,82.4,22.3,86.9
2213,02,050,"Bethel Census Area, Alaska",0,5.6,82.6,25.7,74.6,57.1,64.4
2214,02,066,"Copper River Census Area, Alaska",0,14.1,80.1,6.2,36.6,7.5,72.2
